,Rate,0.05,,0.1,,0.2,,0.5,
Iter,,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness
1,,148.6,506.2,148.6,518.32,148.6,691.64,148.6,273.98
2,,148.6,376.38,148.6,311.58,148.6,314.6,148.6,863.8
3,,148.6,307.92,148.6,378.58,148.6,177.3,148.6,483.96
4,,148.6,151,148.6,109.74,148.6,98.26,148.6,670.38
5,,148.6,164.8,109.74,193.6,98.26,69.54,148.6,471.68
6,,148.6,75.42,109.74,118.54,69.54,131.8,148.6,544.14
7,,75.42,498.14,109.74,441.4,69.54,51.78,148.6,11.86
8,,75.42,496.64,109.74,160.46,51.78,275.56,11.86,57.96
9,,75.42,103.84,109.74,160.26,51.78,73.02,11.86,740.38
10,,75.42,165.16,109.74,17.16,51.78,363.62,11.86,450.92
11,,75.42,406.16,17.16,87.46,51.78,595.08,11.86,221.54
12,,75.42,267.3,17.16,541.26,51.78,157.1,11.86,141.3
13,,75.42,202.26,17.16,123.66,51.78,755.08,11.86,940.9
14,,75.42,140.2,17.16,175.64,51.78,881.08,11.86,752.9
15,,75.42,216.66,17.16,11.68,51.78,695.1,11.86,615.9
16,,75.42,627.6,11.68,184.02,51.78,234.88,11.86,617.98
17,,75.42,9.52,11.68,111.9,51.78,223.38,11.86,464.4
18,,9.52,125.02,11.68,378.6,51.78,458,11.86,767
19,,9.52,281.7,11.68,360.44,51.78,1004.94,11.86,580.82
20,,9.52,340.64,11.68,216.1,51.78,360.42,11.86,936.8
21,,9.52,111.66,11.68,333.28,51.78,627.18,11.86,251.46
22,,9.52,113.74,11.68,45.82,51.78,108.9,11.86,458.12
23,,9.52,433.48,11.68,56.42,51.78,371.76,11.86,856.94
24,,9.52,90.18,11.68,26.02,51.78,897.22,11.86,944.72
25,,9.52,362.8,11.68,80.04,51.78,252.92,11.86,392.8
26,,9.52,60.72,11.68,316.36,51.78,260.16,11.86,35.12
27,,9.52,267.08,11.68,219.64,51.78,65.8,11.86,85.76
28,,9.52,391.7,11.68,146.36,51.78,352.64,11.86,438.92
29,,9.52,113.74,11.68,90.1,51.78,286.62,11.86,437.54
30,,9.52,267.66,11.68,89.48,51.78,588.32,11.86,143.74
31,,9.52,144.04,11.68,52.36,51.78,113.24,11.86,1232.76
32,,9.52,52.44,11.68,14.76,51.78,747.08,11.86,130.3
33,,9.52,445.12,11.68,389.64,51.78,220.18,11.86,691.68
34,,9.52,125.02,11.68,232.56,51.78,120.14,11.86,777
35,,9.52,80.5,11.68,364.52,51.78,77.42,11.86,566.7
36,,9.52,173.48,11.68,506.94,51.78,408.78,11.86,309.54
37,,9.52,21.94,11.68,12.42,51.78,625.16,11.86,1166.88
38,,9.52,91.74,11.68,582.78,51.78,759.44,11.86,120.12
39,,9.52,103.02,11.68,601.18,51.78,34,11.86,296.18
40,,9.52,450.1,11.68,369.42,34,963.66,11.86,944.96
41,,9.52,368.82,11.68,38.38,34,648.9,11.86,140.7
42,,9.52,321.38,11.68,318.18,34,552.86,11.86,253.28
43,,9.52,292.18,11.68,90.32,34,793.2,11.86,151.42
44,,9.52,456.24,11.68,51.74,34,209.62,11.86,412.56
45,,9.52,262.28,11.68,651.4,34,342.6,11.86,250.18
46,,9.52,89.62,11.68,152.32,34,48.84,11.86,1319.18
47,,9.52,216.72,11.68,48.1,34,264.3,11.86,785.1
48,,9.52,186.12,11.68,147.78,34,374.18,11.86,150.22
49,,9.52,102.9,11.68,609.32,34,176.08,11.86,363.64
50,,9.52,202.42,11.68,582.38,34,331.78,11.86,404.14
51,,9.52,97.56,11.68,631.72,34,307.46,11.86,312.16
52,,9.52,160.08,11.68,27.88,34,46.52,11.86,613.62
